종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"023960","에쓰씨엔지니어링","KOSPI","건설","1332","33","2.54","46698037884"
"298690","에어부산","KOSPI","운송·창고","2200","20","0.92","256608000000"
"140910","에이리츠","KOSPI","부동산","3130","0","0.00","13969290160"
"078520","에이블씨엔씨","KOSPI","화학","9340","500","5.66","242972263740"
"015260","에이엔피","KOSPI","전기·전자","423","-10","-2.31","19084446162"
"007460","에이프로젠","KOSPI","금속","656","-1","-0.15","204558299456"
"003060","에이프로젠바이오로직스","KOSPI","제약","657","1","0.15","130353954165"
"244920","에이플러스에셋","KOSPI","기타금융","6270","130","2.12","141750235110"
"278470","에이피알","KOSPI","화학","163300","2100","1.30","6212594181500"
"450080","에코프로머티","KOSPI","전기·전자","48200","50","0.10","3370742836800"
"019490","엑시큐어하이트론","KOSPI","전기·전자","643","23","3.71","49145949610"
"036570","엔씨소프트","KOSPI","IT 서비스","207500","-2000","-0.95","4470384565000"
"085310","엔케이","KOSPI","금속","838","8","0.96","66101709836"
"900140","엘브이엠씨홀딩스","KOSPI","유통","2010","0","0.00","388413268320"
"066970","엘앤에프","KOSPI","전기·전자","52500","500","0.96","1906599135000"
"097520","엠씨넥스","KOSPI","전기·전자","26500","200","0.76","476409898000"
"484870","엠앤씨솔루션","KOSPI","기계·장비","158000","9000","6.04","1446316200000"
"014440","영보화학","KOSPI","화학","4555","10","0.22","91100000000"
"111770","영원무역","KOSPI","유통","59200","-100","-0.17","2623238905600"
"009970","영원무역홀딩스","KOSPI","기타금융","139100","3800","2.81","1877743866700"
"003520","영진약품","KOSPI","제약","2230","15","0.68","407850790130"
"000670","영풍","KOSPI","금속","45950","-200","-0.43","878033277500"
"006740","영풍제지","KOSPI","종이·목재","1084","8","0.74","60603424312"
"012280","영화금속","KOSPI","운송장비·부품","861","-1","-0.12","44483138805"
"012160","영흥","KOSPI","금속","645","40","6.61","65345189940"
"007310","오뚜기","KOSPI","음식료·담배","405000","5500","1.38","1623171150000"
"002630","오리엔트바이오","KOSPI","제약","779","-16","-2.01","92376160895"
"271560","오리온","KOSPI","음식료·담배","121600","3400","2.88","4807593651200"
"001800","오리온홀딩스","KOSPI","기타금융","24500","950","4.03","1534812839000"
"005320","온타이드","KOSPI","유통","590","0","0.00","39838110390"
"011690","와이투솔루션","KOSPI","전기·전자","3455","65","1.92","126364531270"
"316140","우리금융지주","KOSPI","기타금융","24900","-500","-1.97","18490528374900"
"006980","우성","KOSPI","음식료·담배","18210","270","1.51","56268900000"
"017370","우신시스템","KOSPI","기계·장비","7920","60","0.76","145047307680"
"105840","우진","KOSPI","의료·정밀기기","10170","-160","-1.55","205410303900"
"010400","우진아이엔에스","KOSPI","건설","2725","25","0.93","20769950000"
"049800","우진플라임","KOSPI","기계·장비","2000","-10","-0.50","40000000000"
"016880","웅진","KOSPI","일반서비스","2760","100","3.76","220598740800"
"095720","웅진씽크빅","KOSPI","일반서비스","2275","40","1.79","262776115875"
"005820","원림","KOSPI","섬유·의류","16550","440","2.73","38031403500"
"010600","웰바이오텍","KOSPI","유통","545","0","0.00","49553256815"
"008600","윌비스","KOSPI","유통","452","0","0.00","30390689628"
"033270","유나이티드제약","KOSPI","제약","21300","150","0.71","347910408600"
"014830","유니드","KOSPI","화학","92000","500","0.55","622619200000"
"446070","유니드비티플러스","KOSPI","종이·목재","4420","10","0.23","46901570300"
"000910","유니온","KOSPI","비금속","4715","5","0.11","73608783585"
"047400","유니온머티리얼","KOSPI","비금속","1592","-2","-0.13","66864000000"
"011330","유니켐","KOSPI","섬유·의류","1617","0","0.00","157304421582"
"077500","유니퀘스트","KOSPI","유통","5930","30","0.51","128088604860"
"002920","유성기업","KOSPI","운송장비·부품","2300","20","0.88","59679250000"
"000700","유수홀딩스","KOSPI","일반서비스","6360","140","2.25","165625924320"
